[NAV_PATH] 0.1325,0.1275 0.1325,0.1225
[NAV_END]
[PUSH_PATH] 0 0.1325,0.1225 0.135272,0.242468 0.146821,0.742335
[PUSH_CTRL] 107 3.57133 3.57133 TRACK
[PUSH_CTRL] 108 3.57133 3.57133 TRACK
[PUSH_CTRL] 109 3.57133 3.57133 TRACK
[PUSH_CTRL] 110 3.57133 3.57133 TRACK
[PUSH_CTRL] 111 3.57133 3.57133 TRACK
[PUSH_CTRL] 112 3.57133 3.57133 TRACK
[PUSH_CTRL] 113 3.57133 3.57133 TRACK
[PUSH_CTRL] 114 3.57133 3.57133 TRACK
[PUSH_CTRL] 115 3.57133 3.57133 TRACK
[PUSH_CTRL] 116 3.57133 3.57133 TRACK
[PUSH_CTRL] 117 3.57133 3.57133 TRACK
[PUSH_CTRL] 118 3.57133 3.57133 TRACK
[PUSH_CTRL] 119 3.57133 3.57133 TRACK
[PUSH_CTRL] 120 3.57133 3.57133 TRACK
[PUSH_CTRL] 121 3.57133 3.57133 TRACK
[PUSH_CTRL] 122 3.57133 3.57133 TRACK
[PUSH_CTRL] 123 3.57133 3.57133 TRACK
[PUSH_CTRL] 124 3.57133 3.57133 TRACK
[PUSH_CTRL] 125 3.57133 3.57133 TRACK
[PUSH_CTRL] 126 3.57133 3.57133 TRACK
[PUSH_CTRL] 127 3.57133 3.57133 TRACK
[PUSH_CTRL] 128 3.57133 3.57133 TRACK
[PUSH_CTRL] 129 3.57133 3.57133 TRACK
[PUSH_CTRL] 130 3.57133 3.57133 TRACK
[PUSH_CTRL] 131 3.57133 3.57133 TRACK
[PUSH_CTRL] 132 3.57133 3.57133 TRACK
[PUSH_CTRL] 133 3.57133 3.57133 TRACK
[PUSH_CTRL] 134 3.57133 3.57133 TRACK
[PUSH_CTRL] 135 3.57133 3.57133 TRACK
[PUSH_CTRL] 136 3.57133 3.57133 TRACK
[PUSH_CTRL] 137 3.57133 3.57133 TRACK
[PUSH_CTRL] 138 3.57133 3.57133 TRACK
[PUSH_CTRL] 139 3.57133 3.57133 TRACK
[PUSH_CTRL] 140 3.57133 3.57133 TRACK
[PUSH_CTRL] 141 3.57133 3.57133 TRACK
[PUSH_CTRL] 142 3.57133 3.57133 TRACK
[PUSH_CTRL] 143 3.57133 3.57133 TRACK
[PUSH_CTRL] 144 3.57133 3.57133 TRACK
[PUSH_CTRL] 145 3.57133 3.57133 TRACK
[PUSH_CTRL] 146 3.57133 3.57133 TRACK
[PUSH_CTRL] 147 3.57133 3.57133 TRACK
[PUSH_CTRL] 148 3.57133 3.57133 TRACK
[PUSH_CTRL] 149 3.57133 3.57133 TRACK
[PUSH_CTRL] 150 3.57133 3.57133 TRACK
[PUSH_CTRL] 151 3.56969 3.57133 TRACK
[PUSH_CTRL] 152 3.56695 3.57133 TRACK
[PUSH_CTRL] 153 3.56331 3.57133 TRACK
[PUSH_CTRL] 154 3.55925 3.57133 TRACK
[PUSH_CTRL] 155 3.55432 3.57133 TRACK
[PUSH_CTRL] 156 3.54807 3.57133 TRACK
[PUSH_CTRL] 157 3.5406 3.57133 TRACK
[PUSH_CTRL] 158 3.53189 3.57133 TRACK
[PUSH_CTRL] 159 3.52244 3.57133 TRACK
[PUSH_CTRL] 160 3.51174 3.57133 TRACK
[PUSH_CTRL] 161 3.50128 3.57133 TRACK
[PUSH_CTRL] 162 3.49167 3.57133 TRACK
[PUSH_CTRL] 163 3.48298 3.57133 TRACK
[PUSH_CTRL] 164 3.47535 3.57133 TRACK
[PUSH_CTRL] 165 3.47145 3.57133 TRACK
[PUSH_CTRL] 166 3.46298 3.57133 TRACK
[PUSH_CTRL] 167 3.45446 3.57133 TRACK
[PUSH_CTRL] 168 3.4467 3.57133 TRACK
[PUSH_CTRL] 169 3.43967 3.57133 TRACK
[PUSH_CTRL] 170 3.43343 3.57133 TRACK
[PUSH_CTRL] 171 3.42745 3.57133 TRACK
[PUSH_CTRL] 172 3.42187 3.57133 TRACK
[PUSH_CTRL] 173 3.41668 3.57133 TRACK
[PUSH_CTRL] 174 3.41187 3.57133 TRACK
[PUSH_CTRL] 175 3.40641 3.57133 TRACK
[PUSH_CTRL] 176 3.40557 3.57133 TRACK
[PUSH_CTRL] 177 3.4011 3.57133 TRACK
[PUSH_CTRL] 178 3.39782 3.57133 TRACK
[PUSH_CTRL] 179 3.39616 3.57133 TRACK
[PUSH_CTRL] 180 3.39638 3.57133 TRACK
[PUSH_CTRL] 181 3.39606 3.57133 TRACK
[PUSH_CTRL] 182 3.39516 3.57133 TRACK
[PUSH_CTRL] 183 3.39403 3.57133 TRACK
[PUSH_CTRL] 184 3.39292 3.57133 TRACK
[PUSH_CTRL] 185 3.38999 3.57133 TRACK
[PUSH_CTRL] 186 3.38527 3.57133 TRACK
[PUSH_CTRL] 187 3.38531 3.57133 TRACK
[PUSH_CTRL] 188 3.38075 3.57133 TRACK
[PUSH_CTRL] 189 3.37738 3.57133 TRACK
[PUSH_CTRL] 190 3.37519 3.57133 TRACK
[PUSH_CTRL] 191 3.37416 3.57133 TRACK
[PUSH_CTRL] 192 3.37366 3.57133 TRACK
[PUSH_CTRL] 193 3.37397 3.57133 TRACK
[PUSH_CTRL] 194 3.37168 3.57133 TRACK
[PUSH_CTRL] 195 3.36745 3.57133 TRACK
[PUSH_CTRL] 196 3.36328 3.57133 TRACK
