build_id,axis,tier,verdict,retarget_cm,n_solutions_measured,n_solutions_strict,solve_rate,xml
easy_000,hmax2,easy,strict,0.0,8,8,0.7143,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00159/env.xml
easy_001,hmax2,easy,strict,0.0,8,6,0.7308,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_404/rb_00078/env.xml
easy_002,hmax2,easy,strict,0.0,8,7,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_302/rb_00014/env.xml
easy_003,hmax2,easy,strict,0.0,6,4,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00048/env.xml
easy_004,hmax2,easy,strict,0.0,8,8,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00153/env.xml
easy_005,hmax2,easy,strict,0.0,8,8,0.3286,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_207/rb_00016/env.xml
easy_006,hmax2,easy,strict,0.0,8,8,0.7259,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_410/rb_00064/env.xml
easy_007,hmax2,easy,strict,0.0,8,8,0.7391,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00085/env.xml
easy_008,hmax2,easy,strict,0.0,8,8,0.3077,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_501/rb_00000/env.xml
easy_009,hmax2,easy,strict,0.0,8,4,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00483/env.xml
easy_010,hmax2,easy,strict,0.0,8,4,0.3,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00019/env.xml
easy_011,hmax2,easy,strict,0.0,8,8,0.3333,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00068/env.xml
easy_012,hmax2,easy,strict,0.0,8,8,0.7429,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_406/rb_00013/env.xml
easy_013,hmax2,easy,strict,0.0,8,6,0.76,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_404/rb_00035/env.xml
easy_014,hmax2,easy,strict,0.0,8,8,0.3111,/common/users/dm1487/scratch_namo/real_buildable/pool4b/j_620/rb_00017/env.xml
easy_015,hmax2,easy,strict,0.0,8,8,0.3077,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_302/rb_00034/env.xml
easy_016,hmax2,easy,strict,0.0,8,8,0.3455,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00052/env.xml
easy_017,hmax2,easy,strict,0.0,8,6,0.3333,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00002/env.xml
easy_018,hmax2,easy,strict,0.0,8,8,0.7556,/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00192/env.xml
easy_019,hmax2,easy,strict,0.0,8,8,0.775,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_404/rb_00052/env.xml
easy_020,hmax2,easy,strict,0.0,8,8,0.312,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00217/env.xml
easy_021,hmax2,easy,strict,0.0,8,5,0.3172,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00098/env.xml
easy_022,hmax2,easy,strict,0.0,8,8,0.4,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00050/env.xml
easy_023,hmax2,easy,strict,0.0,8,8,0.4,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00495/env.xml
easy_024,hmax2,easy,strict,0.0,8,8,0.76,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_404/rb_00001/env.xml
easy_025,hmax2,easy,strict,0.0,8,8,0.776,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_412/rb_00062/env.xml
easy_026,hmax2,easy,strict,0.0,8,8,0.328,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_504/rb_00002/env.xml
easy_027,hmax2,easy,strict,0.0,8,2,0.3286,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00189/env.xml
easy_028,hmax2,easy,strict,0.0,8,8,0.4,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_203/rb_00037/env.xml
easy_029,hmax2,easy,strict,0.0,8,7,0.4235,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_207/rb_00071/env.xml
easy_030,hmax2,easy,strict,0.0,8,8,0.7615,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_405/rb_00031/env.xml
easy_031,hmax2,easy,strict,0.0,8,8,0.7769,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_409/rb_00072/env.xml
easy_032,hmax2,easy,strict,0.0,8,8,0.3333,/common/users/dm1487/scratch_namo/real_buildable/pool4b/j_604/rb_00005/env.xml
